Código;Nombre;Descripción;Categoría;Precio normal;Precio mayorista;Stock;Stock minimo;Imagen
ACC-0017;Turbante;Estampado en tonos surtidos que combina fácilmente con diferentes estilos.;Accesorios;4600;2300;500;84;ACC-0017.jpg
ACC-0018;Pinza moño tipo coquette;Estampado de fresas acompañado de un encantador detalle de moño.;Accesorios;4800;2400;510;96;ACC-0018.png
ACC-0019;Pinza moño tipo coquette en satín;Acabado satinado y estampado de cerezas que realzan su estilo coquette.;Accesorios;4800;2400;510;96;ACC-0019.png
ACC-0020;Cartón pinza x3 piezas;Tres piezas en tonos blanco y negro, ideales para diferentes peinados.;Accesorios;4000;2000;560;96;ACC-0020.jpg
ACC-0021;Cartón gancho invisible;Diseño discreto que permite sujetar el cabello de forma práctica y sencilla.;Accesorios;3400;1700;570;108;ACC-0021.jpg
ACC-0022;Cartón pinza tic tac x12;Doce unidades en tonos surtidos para variar y complementar tus peinados.;Accesorios;2600;1300;580;108;ACC-0022.jpg
ACC-0023;Cartón pinza tic tac x12;Doce unidades en tonos surtidos para crear diferentes combinaciones.;Accesorios;3400;1700;585;108;ACC-0023.jpg
ACC-0024;Cartón diadema x2 piezas;Dos piezas en tonos pastel, perfectas para darle un toque suave y femenino al look.;Accesorios;4000;2000;545;96;ACC-0024.png
ACC-0025;Set pinza niña moño capibara en tonos y diseños surtidos;Diseño tierno y encantador, perfecto para darle un toque divertido y delicado a los peinados.;Accesorios;4400;2200;530;96;ACC-0025.jpg
ACC-0026;Caimán alargado con corazón en tonos pastel mate;Acabado suave y delicado con un detalle romántico que aporta un toque dulce al look.;Accesorios;5000;2500;526;96;ACC-0026.jpg
ACC-0027;Set de caimán X4 en tonos metalizados y diseños surtidos;Variedad de estilos con acabados brillantes para crear peinados modernos y llamativos.;Accesorios;4800;2400;556;96;ACC-0027.jpg
ACC-0028;Set de caimán X4 en tono negro y tipo carey en diseños surtidos;Combinación de tonos clásicos y versátiles que se adapta fácilmente a diferentes estilos.;Accesorios;4000;2000;590;108;ACC-0028.jpg
ACC-0029;Set de caimán X4 en tonos y diseños surtidos;Diferentes diseños para combinar y darle variedad a tus peinados en cualquier ocasión.;Accesorios;4000;2000;590;108;ACC-0029.jpg
ACC-0030;Gancho invisible X2;Metálicos con brillantes, ideales para aportar un toque sutil de elegancia.;Accesorios;3200;1600;530;96;ACC-0030.jpg
ACC-0031;Gancho invisible X2;Metálicos con brillantes, perfectos para complementar diferentes peinados.;Accesorios;3200;1600;530;96;ACC-0031.jpg
ACC-0032;Pinza niña B/N;Diseño en blanco y negro, ideal para complementar los peinados de las más pequeñas.;Accesorios;4000;2000;518;96;ACC-0032.jpg
ACC-0033;Banana decorada;Práctica y versátil, con detalles decorativos que aportan un toque especial.;Accesorios;3000;1500;522;96;ACC-0033.jpg
ACC-0034;Caimán mariposa;Diseño metálico en tonos dorado y plateado con delicada forma de mariposa.;Accesorios;3800;1900;575;96;ACC-0034.jpg
ACC-0035;Caimán dálmata;Elaborado en pasta con diseño blanco y negro inspirado en el estampado dálmata.;Accesorios;5000;2500;590;108;ACC-0035.jpg
ACC-0036;Caimán negro y café;Elaborado en pasta, con una combinación de tonos neutros y fáciles de combinar.;Accesorios;5000;2500;590;108;ACC-0036.jpg
ACC-0037;Caimán cuadrado;Diseño moderno en tonos tierra, perfecto para un estilo natural y sofisticado.;Accesorios;5000;2500;586;108;"ACC-0037-01.jpg; ACC-0037-02.jpg"
ACC-0038;Caimán estampado;Elaborado en pasta, con variedad de tonos y diseños para darle un toque divertido y diferente a tus peinados.;Accesorios;5000;2500;610;120;"ACC-0038-01.jpg; ACC-0038-02.jpg, ACC-0038-03.jpg, ACC-0038-04.jpg, ACC-0038-05.jpg, ACC-0038-06.jpg"
ACC-0039;Caimán pasta;"	Variedad de tonos y diseños para combinar fácilmente y darle un toque especial a tus peinados.";Accesorios;5200;2600;600;120;ACC-0039.jpg
ACC-0040;Caimán gamuz;Textura suave y agradable al tacto, disponible en tonos surtidos para diferentes estilos.;Accesorios;5600;2800;590;108;ACC-0040.jpg
ACC-0041;Caimán grande;Diseño rectangular en colores pastel para un acabado moderno y llamativo.;Accesorios;5800;2900;585;108;ACC-0041.jpg
ACC-0042;Caimán grande;Diseño cuadrado en tonos blanco y negro, fácil de combinar con diferentes looks.;Accesorios;5000;2500;585;108;ACC-0042.jpg
ACC-0043;Caimán grande;Diseño en garras con combinación de colores blanco y negro.;Accesorios;5000;2500;590;108;ACC-0043.jpg
ACC-0044;Caimán mediano;Diseño cúbico en diferentes tonos pastel, ideal para recoger el cabello con un toque de color.;Accesorios;5000;2500;590;108;ACC-0044.jpg
